,TSNE_1,TSNE_2,label
C230517005_CELL3176_N1,30.6915224514732,7.63722730306106,1
C230517005_CELL3202_N1,30.8008530834819,9.51296928112043,1
C230517005_CELL3210_N1,9.43833639250487,5.47987386223893,2
C230517005_CELL3238_N1,47.9448627155173,-20.298315499784,1
C230517005_CELL323_N2,-42.4275393642116,28.2200211140725,0
C230517005_CELL3241_N1,-18.157716456917,18.1467958531628,2
C230517005_CELL3268_N1,9.02275186296141,5.43927862019547,2
C230517005_CELL3280_N1,9.17792287835844,-21.3645567325216,3
C230517005_CELL3281_N1,-14.9953292935122,52.7882858338107,2
C230517005_CELL3293_N1,-22.9171350745496,16.1603319819923,0
C230517005_CELL330_N2,-6.18052263695603,12.8333958665646,2
C230517005_CELL3318_N1,54.5606244392747,14.5025444648367,1
C230517005_CELL3325_N1,-31.707503868151,-39.5541618839087,3
C230517005_CELL3326_N1,61.4021229489486,-14.611360554873,1
C230517005_CELL3337_N1,-16.7629886205454,44.4707427079846,2
C230517005_CELL3339_N1,65.3109402682805,3.29887272996387,1
C230517005_CELL333_N3,0.172120524389289,-56.8713107420887,3
C230517005_CELL3365_N1,-44.64717891505,0.85114918306643,0
C230517005_CELL3380_N1,58.4942017970847,0.994220557282559,1
C230517005_CELL3389_N1,-33.0633367799867,-34.6639363513843,3
C230517005_CELL3401_N1,15.9841468597036,-30.8822089897847,3
C230517005_CELL3414_N1,-19.5190749263897,33.256300649402,2
C230517005_CELL3416_N1,36.1239296184148,26.0056857800643,1
C230517005_CELL341_N1,68.0341477492705,-10.1303179409577,1
C230517005_CELL3420_N1,41.3296541591335,15.5472109251252,1
C230517005_CELL3432_N1,-26.7463668776609,-34.9353484470994,3
C230517005_CELL3438_N1,49.8719480431429,14.5954348613181,1
C230517005_CELL3443_N1,-20.2067887788768,24.6707510645483,2
C230517005_CELL3457_N1,44.5078233209682,19.0927657172015,1
C230517005_CELL3504_N1,-40.2495296783048,-29.2744414364661,0
C230517005_CELL3524_N1,49.6805869945265,24.8487449486663,1
C230517005_CELL3526_N1,-9.58974475510093,-29.6744858750824,3
C230517005_CELL3529_N1,24.588299462781,-25.5889223940251,3
C230517005_CELL354_N2,-25.4994214072369,38.4374955756608,2
C230517005_CELL3553_N1,28.1518366358108,1.52574856408046,1
C230517005_CELL3568_N1,45.0187093726873,11.443263184367,1
C230517005_CELL357_N2,2.35960228769315,-42.4613231014632,3
C230517005_CELL3581_N1,-53.0958269928779,28.8400042691972,0
C230517005_CELL3590_N1,44.1658064239877,16.6950107369206,1
C230517005_CELL3592_N1,-38.635660638396,-34.0603415156034,3
C230517005_CELL359_N1,6.79683975154958,25.0710229642243,2
C230517005_CELL3600_N1,19.8980374065191,-10.3040066766174,1
C230517005_CELL3606_N1,19.9048353905559,18.5135987416102,2
C230517005_CELL3623_N1,41.6195897815505,-27.8761713154956,1
C230517005_CELL3635_N1,16.7063961960335,25.5338634536758,2
C230517005_CELL3654_N1,-3.85087151729806,-58.5856060878206,3
C230517005_CELL3658_N1,23.4336341536682,-4.76614205388108,1
C230517005_CELL3675_N1,-16.0524863184785,-49.4224162366204,3
C230517005_CELL3679_N1,29.0092496529036,-34.4529759043012,3
C230517005_CELL367_N2,-38.7141917895665,-32.5590852620368,3
C230517005_CELL3701_N1,-17.7093966450508,-44.7416586945237,3
C230517005_CELL3761_N1,-20.7863827838713,23.8117796265685,2
C230517005_CELL3765_N1,58.481380621101,0.989785361098004,1
C230517005_CELL3767_N1,31.3299724048858,7.81974284373451,1
C230517005_CELL3795_N1,-36.4853157753075,-30.8655469737341,3
C230517005_CELL3797_N1,50.3007158061075,5.79688191585599,1
C230517005_CELL3890_N1,19.4244408105461,22.3597305691547,2
C230517005_CELL3894_N1,43.3275833143786,12.1573380199517,1
C230517005_CELL389_N3,-42.279526849664,33.775932479614,0
C230517005_CELL390_N3,8.0116514928977,9.41544625369961,2
C230517005_CELL3911_N1,-16.596992770432,-49.8989930381202,3
